Crop,Code
Aman,0
Amra,1
Arhar,2
Aus,3
Banana,4
Barbati,5
Beans,6
Betelnut,7
Black Berry,8
Boro,9
Boroi,10
Cabbage,11
Carrot,12
Cauliflower,13
Chalkumra,14
Cheena,15
Chili,16
Cucumber,17
Dalim,18
Danta,19
Danta Shak,20
Date Palm,21
Garlic,22
Ginger,23
Gourd,24
Gram,25
Green Coconut,26
Green Palmyra,27
Green Papaya,28
Groundnut,29
Guava,30
Jack Fruit,31
Jambura,32
Jamrul,33
Jhinga,34
Jute,35
Kakrol,36
Karala,37
Kolmi Shak,38
Lady’s Finger,39
Lal Shak,40
Laushak,41
Lemon,42
Lentil,43
Maize 1,44
Maize 2,45
Malta,46
Mango,47
Mashkalai,48
Motor,49
Mug,50
Mukhi Kachu,51
Oal Kachu,52
Onion,53
Palmyra Palm,54
Palong Shak,55
Patal,56
Pineapple,57
Puishak,58
Pumpkin,59
Radish,60
Rape & Mustard,61
Ripe Papaya,62
Safeda,63
Sesame,64
Shalgom,65
Sugarcane,66
Sweet Potato,67
Taramind,68
Tobacco,69
Wheat,70
Wood Apple,71
